Target,Nominal_Coverage,Conformal_Alpha,Conformal_Rank,Conformal_q_Normalized,Observed_Marginal_Coverage,Observed_Simultaneous_Coverage,Min_Interval_Width,Mean_Interval_Width,Median_Interval_Width,Max_Interval_Width,Mean_Ensemble_Std,N_Calibration,N_Ensemble,Proper_Training_Target_SD
YS,0.9,0.1,83,4.842919228766374,0.8901098901098901,0.7362637362637363,5.417335474523725,164.30478675160902,142.76514628998905,834.2017996450008,16.963403568533558,91,20,120.42647095275119
UTS,0.9,0.1,83,4.434008440331994,0.8021978021978022,0.7362637362637363,12.429305744711428,121.38784151899453,95.99168781232902,540.5081853407495,13.688273608837054,91,20,103.84243186300931
El,0.9,0.1,83,5.660871058130608,0.9120879120879121,0.7362637362637363,1.05279726432413,12.83417775690342,7.956272391753679,61.05342585395182,1.133586820110705,91,20,7.228180289110837
