Outer_ID,Repeat,Outer_Fold,Feature_Count,Feature_Order,Feature,Mandatory,Mean_Normalized_Hybrid_Feature_Score,Selected_Alpha,Selected,Rank
R05_F05,5,5,3,3,tage,True,0.0,1.0,1,3
R01_F01,1,1,4,1,Tsol,True,0.5134958636481454,0.0,1,1
R01_F01,1,1,4,2,Tage,True,0.48419265741596,0.0,1,2
R01_F01,1,1,4,3,tage,True,0.278386613165626,0.0,1,3
R01_F01,1,1,4,4,Zn,False,1.0,0.0,1,4
R01_F02,1,2,4,1,Tsol,True,0.6119658359043367,0.5,1,1
R01_F02,1,2,4,2,Tage,True,0.4557448895622639,0.5,1,2
R01_F02,1,2,4,3,tage,True,0.145545262139968,0.5,1,3
R01_F02,1,2,4,4,Zn,False,1.0,0.5,1,4
R01_F03,1,3,4,1,Tsol,True,0.7226324950931308,0.75,1,1
R01_F03,1,3,4,2,Tage,True,0.4272896381150246,0.75,1,2
R01_F03,1,3,4,3,tage,True,0.0651395551360923,0.75,1,3
R01_F03,1,3,4,4,Zn,False,1.0,0.75,1,4
R01_F04,1,4,4,1,Tsol,True,0.6496925163747844,0.5,1,1
R01_F04,1,4,4,2,Tage,True,0.4703511957823962,0.5,1,2
R01_F04,1,4,4,3,tage,True,0.1788895375370458,0.5,1,3
R01_F04,1,4,4,4,Zn,False,1.0,0.5,1,4
R01_F05,1,5,4,1,Tsol,True,0.810756983047903,1.0,1,1
R01_F05,1,5,4,2,Tage,True,0.3509326911618696,1.0,1,2
R01_F05,1,5,4,3,tage,True,0.0,1.0,1,3
R01_F05,1,5,4,4,Zn,False,1.0,1.0,1,4
R02_F01,2,1,4,1,Tsol,True,0.633836825837871,0.5,1,1
R02_F01,2,1,4,2,Tage,True,0.3968139055061174,0.5,1,2
R02_F01,2,1,4,3,tage,True,0.1686602870613879,0.5,1,3
R02_F01,2,1,4,4,Zn,False,1.0,0.5,1,4
R02_F02,2,2,4,1,Tsol,True,0.7745215788298218,1.0,1,1
R02_F02,2,2,4,2,Tage,True,0.3901227627648085,1.0,1,2
R02_F02,2,2,4,3,tage,True,0.0,1.0,1,3
R02_F02,2,2,4,4,Zn,False,1.0,1.0,1,4
R02_F03,2,3,4,1,Tsol,True,0.4758137566491996,0.0,1,1
R02_F03,2,3,4,2,Tage,True,0.3877030898019608,0.0,1,2
R02_F03,2,3,4,3,tage,True,0.2524939744701257,0.0,1,3
R02_F03,2,3,4,4,Zn,False,1.0,0.0,1,4
R02_F04,2,4,4,1,Tsol,True,0.7095015412020815,0.75,1,1
