Heldout_Condition_ID,Source_Original_Indices,Original_Index,Recommendation_Eligible,Scenario,YS_Weight,UTS_Weight,El_Weight,Uncertainty_Weight,Weight_Sum,Normalized_YS_Component,Normalized_UTS_Component,Normalized_El_Component,NormalizedUncertaintyPenalty,ScenarioScore,ScenarioRank,BaselineRank,RankShift
HTC-001,192,192,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.7862321418270019,0.7557520656209271,0.4800997483420877,0.641463190927375,0.3721441026409459,10,10,0
HTC-002,165,165,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.29331285336698143,0.5465670605767088,0.7163003203530487,1.8834171254459007,0.07781268584077733,48,48,0
HTC-003,113,113,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.9999999999999974,0.9999999999999973,0.29217284474435806,1.2235429877849155,0.2721605403407591,23,23,0
HTC-004,93,93,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.3748840023716718,0.557097896638455,0.14381445786918642,1.396105094791049,-0.03529885600850985,69,69,0
HTC-005,77,77,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.49104166008341915,0.662583302388458,0.10951201155695277,0.793445452280816,0.11584070666099333,42,42,0
HTC-006,78,78,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.4902937786194948,0.6607568671328211,0.11263312500280243,0.7969175814140611,0.11587986286877194,41,41,0
HTC-007,79,79,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.4495795723905804,0.6235358705703312,0.13094336911768734,0.4798796559428002,0.17102450505069725,33,33,0
HTC-008,82,82,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.4775191860690122,0.646877674304589,0.1253029267296098,0.6872076012823739,0.13755902251008936,39,39,0
HTC-009,101,101,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.3551874571136435,0.5293322104186733,0.23939032452866035,1.2197115560275815,0.028717752112411205,60,60,0
HTC-010,204,204,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.2680056254237273,0.4138648085179763,0.4436490618391234,5.594247766541408,-0.8050158417842915,87,87,0
HTC-011,153,153,False,Baseline,0.2,0.2,0.4,0.2,1.0,0.0,0.20034172579901716,0.7772532379532352,3.8463569147083168,-0.41830174260056585,84,84,0
HTC-012,90,90,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.3627895648683619,0.48365261701949136,0.08603443702116813,0.39556639946084343,0.1245889312938692,40,40,0
HTC-013,0,0,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.32676000778329295,0.4424336789258449,0.33714716221813734,1.2273742755136612,0.043222747126350214,58,58,0
HTC-014,75,75,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.8697463865843483,0.8885828703737416,0.520650875751469,1.6169625655416564,0.23653368858387425,25,25,0
HTC-015,116,116,True,Baseline,0.2,0.2,0.4,0.2,1.0,0.8432892672154388,0.8797237791741401,0.5560269089855746,1.0239191400255583,0.36222954486703407,14,14,0
