Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Reported_NonAl_Element_Sum,Calculated_Al_Balance,Al_Balance_Basis,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Elemental_Values_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible
HTC-027,297,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-028,298,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-029,299,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-030,302,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-031,304,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-032,312,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-033,317,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,10.669999999999998,89.33,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-034,70,1,Final_Test,0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,9.22,90.78,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-035,368,1,Final_Test,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0,10.889999999999999,89.11,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-036,227,1,Final_Test,0.04,0.05,4.22,0.0,0.54,0.0,0.0,0.0,0.0,0.16,1.31,0.0,0.0,0.0,6.32,93.68,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-037,218,1,Final_Test,0.04,0.07,1.19,0.0,2.42,0.04,6.9,0.0,0.04,0.08,0.0,0.0,0.002,0.0,10.782,89.218,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-038,39,1,Final_Test,0.04,0.3,4.65,0.9,1.65,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.550000000000001,92.45,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-039,196,1,Final_Test,0.05,0.05,1.02,0.31,1.62,0.0,3.94,0.0,0.0,0.12,0.0,0.0,0.0,0.0,7.11,92.89,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-040,209,1,Final_Test,0.05,0.07,1.22,0.0,2.39,0.0,6.58,0.0,0.03,0.11,0.0,0.0,0.002,0.0,10.452,89.548,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-041,284,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,12.298699999999998,87.7013,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-042,280,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,12.298699999999998,87.7013,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-043,278,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,12.298699999999998,87.7013,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-044,275,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,12.298699999999998,87.7013,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-045,76,1,Final_Test,0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.209999999999999,91.79,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-046,336,1,Final_Test,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,8.482000000000001,91.518,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-047,338,1,Final_Test,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,8.482000000000001,91.518,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-048,124,1,Final_Test,0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,8.68,91.32,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-049,353,1,Final_Test,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,89.99,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-050,234,1,Final_Test,0.175,1.1,2.3,0.0,1.55,0.0,0.1,0.0,0.07,0.0,0.0,1.05,0.0,0.0,6.345000000000001,93.655,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-051,140,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,8.969999999999999,91.03,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-052,132,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,8.969999999999999,91.03,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-053,137,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,8.969999999999999,91.03,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-054,42,1,Final_Test,0.2,0.3,6.3,0.3,0.02,0.0,0.1,0.1,0.06,0.175,0.0,0.0,0.0,0.0,7.554999999999999,92.44500000000001,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-055,19,1,Final_Test,0.2,0.5,4.1,0.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,93.2,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-056,72,1,Final_Test,0.2,0.57,1.76,0.15,3.64,0.5,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,87.14,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-057,22,1,Final_Test,0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,93.2,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-058,57,1,Final_Test,0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5250000000000001,98.475,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-059,56,1,Final_Test,0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5250000000000001,98.475,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-060,332,1,Final_Test,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.925,98.075,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-061,73,1,Final_Test,0.4,0.6,0.65,0.55,1.6,0.0,7.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11.5,88.5,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-062,33,1,Final_Test,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799999999999999,92.2,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-063,30,1,Final_Test,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.949999999999999,92.05,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-064,25,1,Final_Test,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,7.999999999999999,92.0,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
