Heldout_Condition_ID,Source_Original_Indices,Data_Split,KNN_k,KNN_Mean_Distance,KNN_AD_Threshold,Distance_AD_Status,Within_All_Training_Feature_Ranges,Applicability_Domain_Status
HTC-071,248,Final_Test,5,0.9053936102074862,2.6849196546971856,Inside,True,Inside
HTC-072,15,Final_Test,5,1.4188856000516137,2.6849196546971856,Inside,True,Inside
HTC-073,11,Final_Test,5,1.2150236159096726,2.6849196546971856,Inside,True,Inside
HTC-074,9,Final_Test,5,0.5595169483591687,2.6849196546971856,Inside,True,Inside
HTC-075,55,Final_Test,5,2.938162547287207,2.6849196546971856,Outside,True,Outside
HTC-076,417,Final_Test,5,1.1430210066138171,2.6849196546971856,Inside,True,Inside
HTC-077,420,Final_Test,5,0.5059662696735736,2.6849196546971856,Inside,True,Inside
HTC-078,370,Final_Test,5,0.23129230305304116,2.6849196546971856,Inside,True,Inside
HTC-079,373,Final_Test,5,0.16152797176155612,2.6849196546971856,Inside,True,Inside
HTC-080,383,Final_Test,5,0.0294457645874338,2.6849196546971856,Inside,True,Inside
HTC-081,379,Final_Test,5,0.24617228413543887,2.6849196546971856,Inside,True,Inside
HTC-082,390,Final_Test,5,0.09131584634527952,2.6849196546971856,Inside,True,Inside
HTC-083,396,Final_Test,5,0.5774562213669949,2.6849196546971856,Inside,True,Inside
HTC-084,398,Final_Test,5,0.5774604976363824,2.6849196546971856,Inside,True,Inside
HTC-085,400,Final_Test,5,0.32677255430327073,2.6849196546971856,Inside,True,Inside
HTC-086,401,Final_Test,5,0.3607880216785884,2.6849196546971856,Inside,True,Inside
HTC-087,46,Final_Test,5,2.953514591511403,2.6849196546971856,Outside,True,Outside
