Feature_Count,Target,Metric,Mean,SD,CI95_Lower,CI95_Upper
12,YS,R2,0.8453541437207113,0.0461090302532178,0.8272794038614499,0.8634288835799726
12,YS,RMSE,46.08754982629996,6.715421159274162,43.455104731864495,48.71999492073543
12,YS,MAE,33.14207738475379,5.164334173757149,31.117658388640987,35.16649638086659
12,YS,NRMSE,0.38331240465946836,0.05870678666227132,0.36029934428785804,0.4063254650310787
12,YS,NMAE,0.2757405291935535,0.045698918246555094,0.2578265532409039,0.2936545051462031
12,YS,MAPE_Percent,10.992365693741588,2.4189057084847123,10.04415465601558,11.940576731467596
12,UTS,R2,0.8623318204982036,0.04018424327488463,0.8465795971344487,0.8780840438619584
12,UTS,RMSE,37.4730506252875,5.318305192595043,35.38827498979024,39.55782626078476
12,UTS,MAE,27.070789922641602,4.169704552737908,25.43626573796834,28.705314107314862
12,UTS,NRMSE,0.3613341710565333,0.05372923222009199,0.34027231202625724,0.3823960300868094
12,UTS,NMAE,0.26108870301478815,0.04227496796952514,0.2445169155707343,0.277660490458842
12,UTS,MAPE_Percent,6.520943621750551,1.1108849719613783,6.085476712741691,6.9564105307594115
12,El,R2,0.7133800074960632,0.0945062355151688,0.6763335631741171,0.7504264518180094
12,El,RMSE,3.8023587213180354,0.9348079126834953,3.435914019546105,4.168803423089965
12,El,MAE,2.4419821794836247,0.4611419496642674,2.261214535215232,2.6227498237520175
12,El,NRMSE,0.5292022388171741,0.1449719365693835,0.47237323968197575,0.5860312379523724
12,El,NMAE,0.3393678281100776,0.07257522314684356,0.3109183406365149,0.3678173155836403
12,El,MAPE_Percent,20.44548671742072,3.3815598442892814,19.119915258459322,21.77105817638212
12,Macro,R2,0.8070219905716595,0.04282675960149477,0.7902339008078735,0.8238100803354454
12,Macro,NRMSE,0.4246162715110586,0.07079672898492997,0.39686395374896605,0.4523685892731511
12,Macro,NMAE,0.2920656867728064,0.045706553746048754,0.27414871770435534,0.3099826558412575
17,YS,R2,0.8412452650972405,0.04654469882463294,0.8229997431579844,0.8594907870364966
17,YS,RMSE,46.74315736990464,7.524577847004496,43.793522853878876,49.6927918859304
17,YS,MAE,33.4152023752425,6.329738365330087,30.933944936033107,35.896459814451894
17,YS,NRMSE,0.38892682310714916,0.06651351056904252,0.36285352696408446,0.41500011925021385
17,YS,NMAE,0.2781829441638544,0.05610495299774224,0.25618980258873947,0.30017608573896937
17,YS,MAPE_Percent,11.099766654250473,2.86361731186612,9.977228667998954,12.222304640501992
17,UTS,R2,0.8594233973069747,0.04086098368109726,0.8434058917039846,0.8754409029099648
17,UTS,RMSE,37.89763464160881,5.7959564258148,35.62561972268941,40.169649560528214
17,UTS,MAE,27.200450734610758,4.6465608967365295,25.37899886309004,29.021902606131476
17,UTS,NRMSE,0.36553243381137873,0.058700335945366784,0.342521902120795,0.3885429655019625
17,UTS,NMAE,0.26242224884438453,0.04717793750804387,0.24392849734123134,0.2809160003475377
17,UTS,MAPE_Percent,6.547889386765922,1.2528829417918699,6.056759273583509,7.039019499948335
17,El,R2,0.6999197977692202,0.09498685061970531,0.6626849523262958,0.7371546432121446
17,El,RMSE,3.8959194142838736,0.933308869208712,3.5300623375540585,4.261776491013689
17,El,MAE,2.442756872725174,0.4683827663151297,2.259150828329643,2.626362917120705
17,El,NRMSE,0.5422349918559382,0.14490385777285045,0.4854326796089808,0.5990373041028956
17,El,NMAE,0.3393876182304907,0.07247905060715187,0.31097583039248716,0.3677994060684942
17,El,MAPE_Percent,20.342853891573746,3.837325099843386,18.83862245243514,21.847085330712353
17,Macro,R2,0.8001961533911452,0.04735295813174333,0.7816337938035018,0.8187585129787887
17,Macro,NRMSE,0.4322314162581554,0.07793826327941933,0.40167961705262306,0.4627832154636878
17,Macro,NMAE,0.2933309370795765,0.05258646418151941,0.27271704312042094,0.3139448310387321
