Feature_Count,Repeat,Target,N_Folds,R2_Mean,R2_SD,R2_SE,R2_CI95_Lower,R2_CI95_Upper,RMSE_Mean,RMSE_SD,RMSE_SE,RMSE_CI95_Lower,RMSE_CI95_Upper,MAE_Mean,MAE_SD,MAE_SE,MAE_CI95_Lower,MAE_CI95_Upper,NRMSE_Mean,NRMSE_SD,NRMSE_SE,NRMSE_CI95_Lower,NRMSE_CI95_Upper,NMAE_Mean,NMAE_SD,NMAE_SE,NMAE_CI95_Lower,NMAE_CI95_Upper,MAPE_Percent_Mean,MAPE_Percent_SD,MAPE_Percent_SE,MAPE_Percent_CI95_Lower,MAPE_Percent_CI95_Upper
12,1,El,5,0.724015387700135,0.04316163824447654,0.019302471426980845,0.6861825437032525,0.7618482316970174,3.7490174711538016,0.3024424410147973,0.13525637147801142,3.4839149830568994,4.014119959250704,2.416346271543361,0.29508965618243516,0.13196810613619323,2.1576887835164222,2.6750037595703,0.5191082586654151,0.048590902090759856,0.02173051203259514,0.4765164550815286,0.5617000622493016,0.3348429070469788,0.04622887643936884,0.020674182048373433,0.29432151023216685,0.3753643038617907,20.02257855634531,3.0887837519315458,1.3813460874231567,17.315140224995922,22.730016887694696
12,1,Macro,5,0.8135471136246657,0.027120106044627414,0.012128480134557968,0.789775292560932,0.8373189346883994,,,,,,,,,,,0.41824014864083436,0.0491029729686457,0.021959517091045287,0.3751994951423856,0.46128080213928313,0.2895245134399049,0.044881458669078375,0.020071598502681295,0.2501841803746495,0.32886484650516024,,,,,
12,1,UTS,5,0.8604920406296852,0.03948798909713927,0.01765956558319479,0.8258792920866234,0.895104789172747,37.53026717262882,4.964411682332443,2.2201523979978868,33.17876847255296,41.881765872704676,27.078267844103117,4.067066911663921,1.8188476167041319,23.51332651536302,30.643209172843214,0.3626784609214714,0.05748348420849584,0.025707395654746477,0.3122919654381683,0.4130649564047745,0.26168970989745477,0.04582051639082672,0.02049155788280637,0.2215262564471543,0.30185316334775525,6.522905676421,1.1229337174080045,0.5021912252701674,5.5386108748914715,7.507200477950528
12,1,YS,5,0.8561339125441771,0.025265815408527615,0.011299216152085872,0.8339874488860888,0.8782803762022655,44.7813128293379,5.561954587027301,2.4873817088719625,39.906044679948856,49.65658097872694,32.65441820402024,4.736531967931477,2.118241491579127,28.50266488052515,36.806171527515325,0.37293372633561656,0.05499921814869787,0.024596398097965714,0.3247247860636038,0.42114266660762933,0.2720409233752811,0.04583059388631156,0.020496064675795782,0.23186863661072135,0.3122132101398408,10.59059279210592,2.0392671172305015,0.9119879796814867,8.803096351930206,12.378089232281633
12,2,El,5,0.7026402511169445,0.1331229248889166,0.05953438188304323,0.5859528626261797,0.8193276396077093,3.8758624678813005,1.330397914127541,0.5949720346226219,2.7097172800209615,5.04200765574164,2.4259117499252865,0.6487464429302043,0.29012822931062493,1.8572604204764616,2.994563079374111,0.5404780923950819,0.20323434989544423,0.0908891643458381,0.36233533027723924,0.7186208545129247,0.33757869654929146,0.09962178411669881,0.04455221626494947,0.25025635266999047,0.42490104042859245,19.23472084261366,4.629237556317479,2.0702579719841787,15.177015217524673,23.29242646770265
12,2,Macro,5,0.808282256231187,0.05773585218481521,0.02582025804482531,0.7576745504633294,0.8588899619990445,,,,,,,,,,,0.4226406816248759,0.09394625925044901,0.04201404438316449,0.3402931546338735,0.5049882086158783,0.28683088995225803,0.054159113976823096,0.02422069209066708,0.23935833345455054,0.3343034464499655,,,,,
12,2,UTS,5,0.8651886352632705,0.03509116738222316,0.015693247135294866,0.8344298708780926,0.8959473996484484,37.162294377338206,4.541325945455678,2.0309427044044797,33.18164667670543,41.142942077970986,26.715803601209984,2.5347516857774965,1.1335754150961337,24.49399578762156,28.937611414798408,0.3579182775752178,0.04261959145364823,0.0190600607327253,0.3205605585390762,0.3952759966113594,0.25748405109238276,0.025491700319382145,0.011400234955238314,0.23513959058011566,0.27982851160464983,6.350115683201448,0.7402290574331394,0.33104049826821913,5.701276306595739,6.998955059807157
12,2,YS,5,0.8570178823133459,0.045342353909767166,0.020277717120418547,0.8172735567573255,0.8967622078693662,44.463450043482815,7.86219430687723,3.5160801844978655,37.571932881867,51.35496720509863,31.93077352801808,5.991356479060138,2.6794160729224528,26.679118025090073,37.18242903094609,0.36952567490432786,0.06611257547424457,0.029566442585599248,0.31157544743655335,0.42747590237210237,0.26542992221509976,0.050559912860262485,0.022611080418402547,0.22111220459503078,0.30974763983516873,10.269305717644318,2.2747942607075156,1.0173189203536768,8.275360633751111,12.263250801537525
12,3,El,5,0.7466299584505807,0.05666528576329081,0.025341486186233858,0.6969606455255624,0.796299271375599,3.560337566146269,0.400366973392853,0.17904955369045378,3.2094004409129795,3.9112746913795586,2.373364622278127,0.24468298532008856,0.10942555762266022,2.1588905293377127,2.587838715218541,0.4932125351555797,0.0607560958376673,0.02717095206810322,0.43995746910209743,0.546467601209062,0.3284913947228535,0.03427136051631198,0.015326618359175174,0.29845122273887015,0.35853156670683684,20.545441942628162,3.1672072493463865,1.4164181416737294,17.769262384947652,23.321621500308673
12,3,Macro,5,0.8221992023188346,0.030905793622372807,0.013821491087641012,0.7951090797870582,0.8492893248506109,,,,,,,,,,,0.4092902534028206,0.04427832111258578,0.019801867187461186,0.3704785937153967,0.4481019130902445,0.28448914252145446,0.022561587816185415,0.010089848807464323,0.2647130388588244,0.3042652461840845,,,,,
12,3,UTS,5,0.8702687561452243,0.032151124478205985,0.014378419977265206,0.8420870529897845,0.898450459300664,36.60806188136779,3.531593071716594,1.5793764354451187,33.51248406789536,39.70363969484022,26.42634261775679,2.384550558519762,1.0664034289270556,24.336191897059763,28.51649333845382,0.3527933498849617,0.0355577242712896,0.015901897719159543,0.321625630355409,0.3839610694145144,0.2544715396710805,0.021106220493340863,0.009438988754241862,0.23597112171276644,0.2729719576293945,6.2646483641387585,0.6625098233405455,0.2962834001501673,5.6839328998444305,6.845363828433086
12,3,YS,5,0.849698892360699,0.034277705141500206,0.015329455761817701,0.8196531590675362,0.8797446256538617,45.94886942618738,5.662249069137552,2.5322347648252945,40.9856892871298,50.912049565244956,32.55712033901737,2.916408548469974,1.3042575529080704,30.000775535317548,35.11346514271718,0.38186487516792045,0.04965392347476242,0.022205909647828266,0.33834129225817705,0.42538845807766384,0.2705044931704293,0.025680680294848164,0.011484749369543967,0.24799438440612312,0.2930146019347355,10.670457894777147,1.3304013111320596,0.5949735538092266,9.504309729311064,11.83660606024323
