Original_Index,Residual_YS,AbsoluteResidual_YS,NormalizedNonconformity_YS,Residual_UTS,AbsoluteResidual_UTS,NormalizedNonconformity_UTS,Residual_El,AbsoluteResidual_El,NormalizedNonconformity_El
0,-21.513007306547763,21.513007306547763,1.453210571437534,-21.48722971130985,21.48722971130985,2.045681183986849,6.666144758928606,6.666144758928606,6.548557304523339
9,10.4523751458334,10.4523751458334,0.9712897115121581,14.35458770833327,14.35458770833327,3.630120666276612,0.22098388541666658,0.22098388541666658,1.1194430733945537
11,-49.8151220803573,49.8151220803573,3.7745383332967686,-39.2401389285713,39.2401389285713,6.121953630701993,-5.101057308035717,5.101057308035717,5.013594569743418
15,-120.8251479880953,120.8251479880953,7.924338159348674,-68.7834546726192,68.7834546726192,6.6439704176925,-4.144927211309517,4.144927211309517,3.2845926279853224
19,54.37256416666668,54.37256416666668,2.3190174541958095,81.62918166666668,81.62918166666668,1.74933777826796,1.1184820833333333,1.1184820833333333,0.3036203902804364
22,43.72340152083342,43.72340152083342,2.616869134423956,67.91922808333328,67.91922808333328,2.4104344215211135,0.6149951979166914,0.6149951979166914,0.3871091395673868
25,63.363882437500024,63.363882437500024,6.236525447501617,33.193137187499985,33.193137187499985,7.9896868615315,2.2806723749999964,2.2806723749999964,4.898979087467923
30,-1.3673704672611393,1.3673704672611393,0.12037590824164048,-9.247140297618898,9.247140297618898,1.2928401621729317,-4.276764305059547,4.276764305059547,3.13927334899535
33,14.976466874999574,14.976466874999574,0.6737223654555604,26.864221249999446,26.864221249999446,1.8787030133659532,3.74106062499998,3.74106062499998,1.0033292615015488
39,-34.41086060267867,34.41086060267867,2.28732592382524,24.79381082589282,24.79381082589282,2.037219248642591,4.172865491071438,4.172865491071438,4.883334995322053
42,-26.608275625000147,26.608275625000147,0.948096659411519,-22.541650863093707,22.541650863093707,1.4262395491744837,-0.8664019940475853,0.8664019940475853,0.34014896164314173
46,2.6562478035715458,2.6562478035715458,0.43478637036121465,4.430264702381123,4.430264702381123,0.6823231412977486,-1.4198709404761924,1.4198709404761924,0.6834693756942425
55,-85.22390958333344,85.22390958333344,4.599811118957138,-69.3916702083335,69.3916702083335,6.6802627653329445,1.6789368750000122,1.6789368750000122,1.3665255223991906
56,-132.90714807142882,132.90714807142882,6.917559345209611,-155.23102477678583,155.23102477678583,8.07055592139336,-4.700313263392864,4.700313263392864,2.6000354695647836
57,-133.5095070000002,133.5095070000002,7.171548413895931,-155.38762250000025,155.38762250000025,8.241821458819976,-4.767100250000002,4.767100250000002,2.6039768217551176
70,-146.78153687499997,146.78153687499997,4.5476224379374495,-123.29852062500015,123.29852062500015,4.4494241525192,3.179233124999996,3.179233124999996,2.3501614795511725
