Model,Target,R2,RMSE,MAE,NRMSE
Single locked k=12 model,YS,0.8572409056912443,46.10946339572414,31.754510061812876,0.37575299473539203
Single locked k=12 model,UTS,0.8420345913763201,41.017385480114626,27.437458619505165,0.39525880763422666
Single locked k=12 model,El,0.8261837273787119,2.635162753728036,1.7479163118131957,0.4146157301543006
Single locked k=12 model,Macro,0.8418197414820922,29.920670543188933,20.313294997710415,0.3952091775079731
