Feature,MeanAbsoluteSHAP
Cr,1.2653838319881374
Cu,11.476172881959585
Fe,4.244886406993319
Mg,5.346858243602022
Sc,1.8945470263652409
Si,2.9774175242965657
Tage,9.904694074883158
Ti,4.227832460015149
Tsol,10.011980672934046
Zn,32.03401835859341
Zr,4.776591329942578
tage,6.553338950610967
