Feature_Count,Feature,Mandatory,Selection_Frequency,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
3,Tage,True,1.0,2.0,0.0,0.44843842060005706,0.04910100480101916
3,Tsol,True,1.0,1.0,0.0,0.6379243907991381,0.10984923618304117
3,tage,True,1.0,3.0,0.0,0.1600923607992351,0.12367807806872573
4,Tage,True,1.0,2.0,0.0,0.43379143993720826,0.056009490800562466
4,Tsol,True,1.0,1.0,0.0,0.6354216504817781,0.10822523259713838
4,Zn,False,1.0,4.0,0.0,1.0,0.0
4,tage,True,1.0,3.0,0.0,0.16060244356690817,0.11714779332774329
5,Mg,False,1.0,5.0,0.0,0.6409373924849301,0.12471341781968857
5,Tage,True,1.0,2.0,0.0,0.45476050107671434,0.05197085497805855
5,Tsol,True,1.0,1.0,0.0,0.6424980793005635,0.08190201832644306
5,Zn,False,1.0,4.0,0.0,1.0,0.0
5,tage,True,1.0,3.0,0.0,0.16577126844588236,0.09918762337447008
6,Cu,False,1.0,6.0,0.0,0.32864904782088467,0.029484192432655775
6,Fe,False,1.0,6.0,,0.33256529275208613,
6,Mg,False,1.0,5.0,0.0,0.5359472755332009,0.09997703575793214
6,Tage,True,1.0,2.0,0.0,0.46766190202947955,0.06218727770951542
6,Ti,False,1.0,6.0,0.0,0.38445751711534365,0.06593140139773339
6,Tsol,True,1.0,1.0,0.0,0.567279632939968,0.07777480267362738
6,Zn,False,1.0,4.0,0.0,1.0,0.0
6,tage,True,1.0,3.0,0.0,0.24611137101157193,0.08350106316503393
7,Cu,False,1.0,6.090909090909091,0.29424494316824984,0.3290674635181642,0.027378184330441483
7,Fe,False,1.0,7.0,0.0,0.30224678029917806,0.08101091592922866
7,Mg,False,1.0,5.0,0.0,0.561739388916019,0.10805569623999649
7,Si,False,1.0,7.0,0.0,0.3643439708065462,0.03659752202545312
7,Tage,True,1.0,2.0,0.0,0.4562014425123276,0.05667566540292289
7,Ti,False,1.0,6.75,0.4442616583193193,0.31397677695346415,0.06409349148550152
7,Tsol,True,1.0,1.0,0.0,0.5842936048403491,0.07910918225932398
