Run_ID,Repeat,Outer_Fold,Outer_ID,Feature_Count,Model_Family,Description,Candidate_Number,Alpha,Params,Derived_Seed,Outer_Training_Index_Hash,Mean_Inner_Primary_Score,Std_Inner_Primary_Score,Mean_Inner_NRMSE,Rank_Within_Family,Selection_Status,Search_Independent_Fixed_k,Complexity_Score,Selected_Alpha,Selected_Feature_Count,Selected_Features,Selected_Feature_Rank,Outer_Validation_Index_Hash,Calibration_Accessed,Final_Test_Accessed,Selected_Configuration_Status,Outer_R2_YS,Outer_RMSE_YS,Outer_MAE_YS,Outer_NRMSE_YS,Outer_R2_UTS,Outer_RMSE_UTS,Outer_MAE_UTS,Outer_NRMSE_UTS,Outer_R2_El,Outer_RMSE_El,Outer_MAE_El,Outer_NRMSE_El,Outer_R2_Macro,Outer_RMSE_Macro,Outer_MAE_Macro,Outer_NRMSE_Macro
R01_F01_k13_Native_ET_Physics,1,1,R01_F01,13,Native_ET_Physics,reduced physics-retained ExtraTrees,4,0.0,"{""model__max_depth"": 14, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 0.0, ""selector__n_features"": 13}",1056,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.42924760608584756,0.029882970684240884,0.42924760608584756,1,Selected_for_fixed_k,True,610,0.0,13,Tsol;Tage;tage;Zn;Mg;Cu;Fe;Ti;Zr;Si;Mn;Li;Sc,Zn;Tsol;Tage;Mg;Cu;tage;Fe;Ti;Zr;Si;Mn;Li;Sc;Cr;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8480315336895445,47.01379189522568,37.15832056965138,0.3862049138124144,0.8585081041653537,39.15812004563598,28.106886372649097,0.37265490140532453,0.7100938260015252,3.88268576910557,2.746069981231256,0.533420604351436,0.8055444879521412,30.018199236655743,22.670425641177246,0.4307601398563916
R01_F01_k14_Native_ET_Physics,1,1,R01_F01,14,Native_ET_Physics,reduced physics-retained ExtraTrees,10,0.75,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800, ""selector__alpha"": 0.75, ""selector__n_features"": 14}",1057,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.4754869809498542,0.06891849583527794,0.4754869809498542,1,Selected_for_fixed_k,True,1070,0.75,14,Tsol;Tage;tage;Zn;Mg;Ti;Si;Fe;Sc;Cu;Zr;Li;Cr;Be,Zn;Mg;Tsol;Tage;Ti;Si;Fe;Sc;Cu;Zr;Li;Cr;Be;Ni;Mn;tage;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.851247803855935,46.513629956093,38.016940688651225,0.3820962258974836,0.8535011728959145,39.844935160839476,29.225651641006568,0.3791910941219708,0.6970138681902359,3.969308800141155,2.8948074527525867,0.5453212608334566,0.8005876149806951,30.10929130569121,23.37913326080346,0.43553619361763696
R01_F01_k15_Native_ET_Physics,1,1,R01_F01,15,Native_ET_Physics,reduced physics-retained ExtraTrees,6,0.25,"{""model__max_depth"": 14, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800, ""selector__alpha"": 0.25, ""selector__n_features"": 15}",1058,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.4691121142360049,0.030798264420614157,0.4691121142360049,1,Selected_for_fixed_k,True,1110,0.25,15,Tsol;Tage;tage;Zn;Mg;Cu;Ti;Fe;Si;Zr;Sc;Li;Cr;Mn;Be,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;Si;tage;Zr;Sc;Li;Cr;Mn;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8500732998889031,46.6968979394888,37.068444109115916,0.38360172019774524,0.8626390353013451,38.58226474271947,28.176873249306272,0.3671746765916207,0.7117184012270042,3.871791594868758,2.718358444868557,0.5319239143407353,0.8081435788057508,29.716984759025674,22.654558601096912,0.4275667703767004
R01_F01_k16_Native_ET_Physics,1,1,R01_F01,16,Native_ET_Physics,reduced physics-retained ExtraTrees,13,0.25,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.25, ""selector__n_features"": 16}",1059,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.45291911882067737,0.05897926776222714,0.45291911882067737,1,Selected_for_fixed_k,True,770,0.25,16,Tsol;Tage;tage;Zn;Mg;Cu;Ti;Fe;Si;Zr;Sc;Li;Cr;Mn;Be;Ni,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;Si;tage;Zr;Sc;Li;Cr;Mn;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8496577780897281,46.761563383930294,38.733756022579456,0.38413292841113134,0.8622435912204632,38.637761452488256,28.667077279340653,0.3677028204576466,0.6806560298750608,4.075049343331811,2.9547240080970707,0.5598483659888661,0.7975191330617507,29.82479139325012,23.451852436672393,0.4372280382858813
R01_F01_k17_Native_RF_Physics,1,1,R01_F01,17,Native_RF_Physics,reduced physics-retained RandomForest,21,1.0,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 1.0, ""selector__n_features"": 17}",1060,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.4587109064738197,0.06681604459166068,0.4587109064738197,1,Selected_for_fixed_k,True,570,1.0,17,Tsol;Tage;tage;Zn;Mg;Ti;Si;Sc;Fe;Cu;Li;Zr;Cr;Be;Ni;Mn;V,Zn;Mg;Tsol;Ti;Si;Sc;Tage;Fe;Cu;Li;Zr;Cr;Be;Ni;Mn;V;tage,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.804262462289045,53.356287099287904,43.10762686112452,0.43830670596522425,0.8271952731674537,43.274679442576286,32.5341976637099,0.4118308382074008,0.6348928020522919,4.357262347026444,3.167030798802855,0.5986200410454607,0.7554501791695968,33.66274296296354,26.269618441212426,0.48291919507269526
R01_F02_k03_Independent_ET_Physics,1,2,R01_F02,3,Independent_ET_Physics,reduced physics-retained independent ET,5,0.0,"{""model__estimator__max_depth"": 14, ""model__estimator__max_features"": ""sqrt"", ""model__estimator__min_samples_leaf"": 1, ""model__estimator__n_estimators"": 500, ""selector__alpha"": 0.0, ""selector__n_features"": 3}",1047,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,-0.605880182791812,0.08803831449622912,0.605880182791812,1,Selected_for_fixed_k,True,790,0.0,3,Tsol;Tage;tage,Zn;Tage;Tsol;Mg;Cu;tage;Ti;Fe;Zr;Mn;Si;Li;Cr;Sc;Be;Ni;V,3ff0374a4f5b350f11b071b603635d2ae125e210b994de650857a011e7d86e2c,False,False,Selected,0.8043542381277142,61.47154471341716,48.39287040625562,0.4382039390603241,0.724336677017199,64.05590712343727,48.50986865957428,0.5201523302180504,0.5010757989232617,5.509475600879377,3.7145888488944845,0.6997748666676745,0.6765889046893916,43.67897581257793,33.53910930490813,0.552710378648683
R01_F02_k04_Independent_ET_Physics,1,2,R01_F02,4,Independent_ET_Physics,reduced physics-retained independent ET,9,0.5,"{""model__estimator__max_depth"": null, ""model__estimator__max_features"": 1.0, ""model__estimator__min_samples_leaf"": 2, ""model__estimator__n_estimators"": 500, ""selector__alpha"": 0.5, ""selector__n_features"": 4}",1048,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,-0.5119515390862455,0.07357696675826327,0.5119515390862455,1,Selected_for_fixed_k,True,800,0.5,4,Tsol;Tage;tage;Zn,Zn;Mg;Tsol;Tage;Cu;Ti;Fe;Si;Sc;Zr;Cr;Li;tage;Mn;Be;Ni;V,3ff0374a4f5b350f11b071b603635d2ae125e210b994de650857a011e7d86e2c,False,False,Selected,0.835090728636749,56.43667780903565,44.014253513824535,0.4023125600421086,0.7823980947304465,56.91163192888102,41.031002997857804,0.46213876742506066,0.6269195675996938,4.7642464006255265,3.14364523827337,0.6051210916039899,0.7481361303222965,39.37085204618074,29.396300583318567,0.4898574730237197
R01_F02_k05_Native_ET_Physics,1,2,R01_F02,5,Native_ET_Physics,reduced physics-retained ExtraTrees,4,0.25,"{""model__max_depth"": 10, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 0.25, ""selector__n_features"": 5}",1049,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,-0.49876663119509823,0.05998027642434487,0.49876663119509823,1,Selected_for_fixed_k,True,600,0.25,5,Tsol;Tage;tage;Zn;Mg,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;tage;Si;Zr;Sc;Cr;Li;Mn;Be;Ni;V,3ff0374a4f5b350f11b071b603635d2ae125e210b994de650857a011e7d86e2c,False,False,Selected,0.8638806756290793,51.27418862795734,39.02465852909751,0.3655114172523609,0.8418593881716561,48.516716331710306,35.18684469979273,0.39396964601307916,0.6279630398313838,4.757579152263103,3.0918539006064396,0.6042742645787262,0.7779010345440397,34.849494703976916,25.767785709832225,0.4545851092813888
R01_F02_k06_Native_ET_Physics,1,2,R01_F02,6,Native_ET_Physics,reduced physics-retained ExtraTrees,12,0.25,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800, ""selector__alpha"": 0.25, ""selector__n_features"": 6}",1050,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,-0.46787793131737326,0.01743312399728482,0.46787793131737326,1,Selected_for_fixed_k,True,1070,0.25,6,Tsol;Tage;tage;Zn;Mg;Cu,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;tage;Si;Zr;Sc;Cr;Li;Mn;Be;Ni;V,3ff0374a4f5b350f11b071b603635d2ae125e210b994de650857a011e7d86e2c,False,False,Selected,0.8481593303588529,54.15430162484094,41.30319909725893,0.3860424916878104,0.8585513121523457,45.88483283139077,33.68376338057642,0.37259799744809063,0.7109766290709416,4.1933340422174155,2.791616610076361,0.5326078165801025,0.8058957571940467,34.74415616614971,25.926193029303906,0.4304161019053345
R01_F02_k07_Native_RF_Physics,1,2,R01_F02,7,Native_RF_Physics,reduced physics-retained RandomForest,16,0.5,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800, ""selector__alpha"": 0.5, ""selector__n_features"": 7}",1051,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,-0.46691546653247845,0.02943200861513064,0.46691546653247845,1,Selected_for_fixed_k,True,950,0.5,7,Tsol;Tage;tage;Zn;Mg;Cu;Ti,Zn;Mg;Tsol;Tage;Cu;Ti;Fe;Si;Sc;Zr;Cr;Li;tage;Mn;Be;Ni;V,3ff0374a4f5b350f11b071b603635d2ae125e210b994de650857a011e7d86e2c,False,False,Selected,0.8511447239189581,53.61928526377139,43.96656073954695,0.38222859246052737,0.8705037000359004,43.90342200030868,34.39765150040416,0.35650837344322606,0.697318120180476,4.291273453914181,2.790290593033504,0.545047392272329,0.8063221813784448,33.93799357266475,27.051500944328208,0.42792811939202746
