Run_ID,Repeat,Outer_Fold,Outer_ID,Feature_Count,Model_Family,Derived_Seed,Search_Independent_Fixed_k,Index_Hash,Search_Stage
R01_F01_k10_RegressorChain_ET_Physics,1,1,R01_F01,10,RegressorChain_ET_Physics,1053,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k11_Independent_ET_Physics,1,1,R01_F01,11,Independent_ET_Physics,1054,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k11_Native_ET_Physics,1,1,R01_F01,11,Native_ET_Physics,1054,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k11_Native_RF_Physics,1,1,R01_F01,11,Native_RF_Physics,1054,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k11_RegressorChain_ET_Physics,1,1,R01_F01,11,RegressorChain_ET_Physics,1054,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k12_Independent_ET_Physics,1,1,R01_F01,12,Independent_ET_Physics,1055,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k12_Native_ET_Physics,1,1,R01_F01,12,Native_ET_Physics,1055,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k12_Native_RF_Physics,1,1,R01_F01,12,Native_RF_Physics,1055,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k12_RegressorChain_ET_Physics,1,1,R01_F01,12,RegressorChain_ET_Physics,1055,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k13_Independent_ET_Physics,1,1,R01_F01,13,Independent_ET_Physics,1056,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k13_Native_ET_Physics,1,1,R01_F01,13,Native_ET_Physics,1056,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k13_Native_RF_Physics,1,1,R01_F01,13,Native_RF_Physics,1056,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k13_RegressorChain_ET_Physics,1,1,R01_F01,13,RegressorChain_ET_Physics,1056,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k14_Independent_ET_Physics,1,1,R01_F01,14,Independent_ET_Physics,1057,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k14_Native_ET_Physics,1,1,R01_F01,14,Native_ET_Physics,1057,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k14_Native_RF_Physics,1,1,R01_F01,14,Native_RF_Physics,1057,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k14_RegressorChain_ET_Physics,1,1,R01_F01,14,RegressorChain_ET_Physics,1057,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k15_Independent_ET_Physics,1,1,R01_F01,15,Independent_ET_Physics,1058,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k15_Native_ET_Physics,1,1,R01_F01,15,Native_ET_Physics,1058,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k15_Native_RF_Physics,1,1,R01_F01,15,Native_RF_Physics,1058,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k15_RegressorChain_ET_Physics,1,1,R01_F01,15,RegressorChain_ET_Physics,1058,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k16_Independent_ET_Physics,1,1,R01_F01,16,Independent_ET_Physics,1059,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k16_Native_ET_Physics,1,1,R01_F01,16,Native_ET_Physics,1059,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k16_Native_RF_Physics,1,1,R01_F01,16,Native_RF_Physics,1059,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k16_RegressorChain_ET_Physics,1,1,R01_F01,16,RegressorChain_ET_Physics,1059,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k17_Independent_ET_Physics,1,1,R01_F01,17,Independent_ET_Physics,1060,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k17_Native_ET_Physics,1,1,R01_F01,17,Native_ET_Physics,1060,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k17_Native_RF_Physics,1,1,R01_F01,17,Native_RF_Physics,1060,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F01_k17_RegressorChain_ET_Physics,1,1,R01_F01,17,RegressorChain_ET_Physics,1060,True,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,outer_fixed_k
R01_F02_k03_Independent_ET_Physics,1,2,R01_F02,3,Independent_ET_Physics,1047,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k03_Native_ET_Physics,1,2,R01_F02,3,Native_ET_Physics,1047,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k03_Native_RF_Physics,1,2,R01_F02,3,Native_RF_Physics,1047,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k03_RegressorChain_ET_Physics,1,2,R01_F02,3,RegressorChain_ET_Physics,1047,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k04_Independent_ET_Physics,1,2,R01_F02,4,Independent_ET_Physics,1048,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k04_Native_ET_Physics,1,2,R01_F02,4,Native_ET_Physics,1048,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k04_Native_RF_Physics,1,2,R01_F02,4,Native_RF_Physics,1048,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k04_RegressorChain_ET_Physics,1,2,R01_F02,4,RegressorChain_ET_Physics,1048,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k05_Independent_ET_Physics,1,2,R01_F02,5,Independent_ET_Physics,1049,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k05_Native_ET_Physics,1,2,R01_F02,5,Native_ET_Physics,1049,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k05_Native_RF_Physics,1,2,R01_F02,5,Native_RF_Physics,1049,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k05_RegressorChain_ET_Physics,1,2,R01_F02,5,RegressorChain_ET_Physics,1049,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k06_Independent_ET_Physics,1,2,R01_F02,6,Independent_ET_Physics,1050,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k06_Native_ET_Physics,1,2,R01_F02,6,Native_ET_Physics,1050,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k06_Native_RF_Physics,1,2,R01_F02,6,Native_RF_Physics,1050,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k06_RegressorChain_ET_Physics,1,2,R01_F02,6,RegressorChain_ET_Physics,1050,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k07_Independent_ET_Physics,1,2,R01_F02,7,Independent_ET_Physics,1051,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k07_Native_ET_Physics,1,2,R01_F02,7,Native_ET_Physics,1051,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k07_Native_RF_Physics,1,2,R01_F02,7,Native_RF_Physics,1051,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k07_RegressorChain_ET_Physics,1,2,R01_F02,7,RegressorChain_ET_Physics,1051,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k08_Independent_ET_Physics,1,2,R01_F02,8,Independent_ET_Physics,1052,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
