Repeat,Target,Metric,Grouped_minus_Rowwise
1,El,R2,-0.7791759689803719
1,El,NRMSE,0.4172711634799022
1,El,NMAE,0.36582216064858164
1,Macro,R2,-0.3498327534606704
1,Macro,NRMSE,0.23263137792763222
1,Macro,NMAE,0.20552109128286722
1,UTS,R2,-0.1454810281922535
1,UTS,NRMSE,0.15359024991712944
1,UTS,NMAE,0.13434949298903237
1,YS,R2,-0.12484126320938527
1,YS,NRMSE,0.12703272038586522
1,YS,NMAE,0.1163916202109877
2,El,R2,-0.7199690606811846
2,El,NRMSE,0.3562816092870057
2,El,NMAE,0.3287867512029508
2,Macro,R2,-0.34051246466218177
2,Macro,NRMSE,0.2261862486011183
2,Macro,NMAE,0.21021812629672798
2,UTS,R2,-0.17153875404816055
2,UTS,NRMSE,0.18309328767294186
2,UTS,NMAE,0.16190269044454048
2,YS,R2,-0.13002957925720038
2,YS,NRMSE,0.13918384884340756
2,YS,NMAE,0.13996493724269238
3,El,R2,-0.6196139680840695
3,El,NRMSE,0.35499158060462543
3,El,NMAE,0.32057251584392843
3,Macro,R2,-0.3677278887488358
3,Macro,NRMSE,0.26331666695418215
3,Macro,NMAE,0.24081695570188755
3,UTS,R2,-0.24669530398122974
3,UTS,NRMSE,0.22236706574824533
3,UTS,NMAE,0.20572729102293613
3,YS,R2,-0.23687439418120815
3,YS,NRMSE,0.21259135450967565
3,YS,NMAE,0.19615106023879808
4,El,R2,-0.555490382135197
4,El,NRMSE,0.29686715005285524
4,El,NMAE,0.31390157503613514
4,Macro,R2,-0.2715164437550813
4,Macro,NRMSE,0.1957592437867119
4,Macro,NMAE,0.20237338237667918
4,UTS,R2,-0.15851639735588885
4,UTS,NRMSE,0.1766088427556884
4,UTS,NMAE,0.16790336964946034
4,YS,R2,-0.10054255177415794
4,YS,NRMSE,0.11380173855159204
4,YS,NMAE,0.12531520244444178
5,El,R2,-0.5680355870593741
5,El,NRMSE,0.3867203186020579
5,El,NMAE,0.3737841657138628
5,Macro,R2,-0.2886168473262204
5,Macro,NRMSE,0.23502029979309347
5,Macro,NMAE,0.2281482906252259
5,UTS,R2,-0.16297628009924725
5,UTS,NRMSE,0.17122423491728211
5,UTS,NMAE,0.16121771004230462
5,YS,R2,-0.13483867482003964
5,YS,NRMSE,0.1471163458599405
5,YS,NMAE,0.14944299611951056
