Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent,Validation_Type
,1,1,R01_F01,Fixed_k12_Native_ET,Not applicable,YS,0.8527097161757443,46.28450142258184,36.00522407407453,0.3851449336378166,0.2996084911883363,11.647438359008696,Fixed_Rowwise
,1,1,R01_F01,Fixed_k12_Native_ET,Not applicable,UTS,0.8576881665998303,39.27141569711974,28.221009953703497,0.37871470506992055,0.27214988998158207,6.545103738842512,Fixed_Rowwise
,1,1,R01_F01,Fixed_k12_Native_ET,Not applicable,El,0.7457336600856239,3.6362015491724016,2.6173537422839592,0.5029493227179133,0.3620251171980619,24.203106129272964,Fixed_Rowwise
,1,1,R01_F01,Fixed_k12_Native_ET,Not applicable,Macro,0.8187105142870662,,,0.42226965380855014,0.3112611661226601,,Fixed_Rowwise
,1,2,R01_F02,Fixed_k12_Native_ET,Not applicable,YS,0.8499873321192477,53.827334178033894,40.19578533950647,0.4669303995368249,0.34868221499127106,13.660872257678857,Fixed_Rowwise
,1,2,R01_F02,Fixed_k12_Native_ET,Not applicable,UTS,0.8744717054609293,43.22554786659513,31.602463811727862,0.4376919985679867,0.3199993112433672,7.918262617070537,Fixed_Rowwise
,1,2,R01_F02,Fixed_k12_Native_ET,Not applicable,El,0.7715028979402202,3.7284929568666674,2.517715624999996,0.5278736775615376,0.3564538867038069,19.65797823719976,Fixed_Rowwise
,1,2,R01_F02,Fixed_k12_Native_ET,Not applicable,Macro,0.8319873118401325,,,0.4774986918887831,0.34171180431281506,,Fixed_Rowwise
,1,3,R01_F03,Fixed_k12_Native_ET,Not applicable,YS,0.852412249489487,44.050474759893795,29.72770636574099,0.36328881022160164,0.245167461533466,10.661951581932067,Fixed_Rowwise
,1,3,R01_F03,Fixed_k12_Native_ET,Not applicable,UTS,0.8800279657979041,34.88151248209611,24.67641053240784,0.33496811643680685,0.23696824387144017,6.437668490934663,Fixed_Rowwise
