Validation_Type,Target,N_Folds,R2_Mean,R2_SD,R2_SE,R2_CI95_Lower,R2_CI95_Upper,NRMSE_Mean,NRMSE_SD,NRMSE_SE,NRMSE_CI95_Lower,NRMSE_CI95_Upper,NMAE_Mean,NMAE_SD,NMAE_SE,NMAE_CI95_Lower,NMAE_CI95_Upper
Fixed_Composition_Grouped,El,25,0.07852617225339299,0.38221197170276,0.076442394340552,-0.07130092065408893,0.2283532651608749,0.8767489661167437,0.3126964996203472,0.06253929992406944,0.7541719382655676,0.9993259939679198,0.6660548480332491,0.2603968891663152,0.05207937783326304,0.5639792674800536,0.7681304285864446
Fixed_Composition_Grouped,Macro,25,0.489774854532509,0.12391682452387132,0.024783364904774265,0.44119945931915144,0.5383502497458665,0.6478376089873729,0.15563165686111588,0.031126331372223176,0.5868299994978154,0.7088452184769303,0.5000381836311899,0.11267438076884753,0.022534876153769506,0.45586982636980167,0.5442065408925781
Fixed_Composition_Grouped,UTS,25,0.688501329104013,0.0926487461782552,0.018529749235651042,0.652183020602137,0.724819637605889,0.5381734164076155,0.22812316163508445,0.04562463232701689,0.4487491370466624,0.6275976957685686,0.420460181887387,0.16700390432538828,0.03340078086507765,0.3549946513918348,0.4859257123829392
Fixed_Composition_Grouped,YS,25,0.702297062240121,0.11746147295498328,0.023492294590996658,0.6562521648417675,0.7483419596384745,0.5285904444377594,0.19042406685225155,0.03808481337045031,0.45394421023167675,0.603236678643842,0.4135995209729335,0.1423387364437219,0.028467747288744384,0.3578027362869945,0.4693963056588725
Fixed_Rowwise,El,25,0.7269831656414325,0.10112506792355117,0.02022501358471023,0.6873421390154004,0.7666241922674646,0.5143226017114544,0.1454569125846051,0.029091382516921022,0.4573034919782892,0.5713417114446195,0.3254814143441573,0.07046807105744118,0.014093614211488237,0.2978579304896403,0.35310489819867424
Fixed_Rowwise,Macro,25,0.813416134123107,0.046477822911951405,0.009295564582390281,0.795196827541622,0.8316354407045919,0.4172548415748252,0.07168044779422203,0.014336089558844406,0.38915610603949014,0.4453535771101602,0.28262261437451225,0.04511605059836075,0.00902321011967215,0.26493712253995483,0.30030810620906967
Fixed_Rowwise,UTS,25,0.8655428818393692,0.041117883428097114,0.008223576685619422,0.8494246715355551,0.8816610921431833,0.356796680205358,0.053852597825168054,0.010770519565033611,0.3356864618578921,0.3779068985528239,0.2542400710577322,0.04222808279608799,0.008445616559217597,0.23768666260166574,0.27079347951379873
Fixed_Rowwise,YS,25,0.8477223548885193,0.0442993489408308,0.00885986978816616,0.8303570101037137,0.865087699673325,0.38064524280766315,0.057776537137126896,0.011555307427425379,0.3579968402499094,0.4032936453654169,0.2681463577216474,0.04501043535787975,0.009002087071575949,0.25050226706135853,0.2857904483819363
