Original_Index,Data_Split,Composition_ID,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc
170,Calibration,COMP-92ed17371ff559b6,0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0
171,Calibration,COMP-92ed17371ff559b6,0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0
172,Proper_Training,COMP-92ed17371ff559b6,0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0
173,Proper_Training,COMP-0d41a2cf75110ad6,1.18,0.191,1.13,0.0,1.58,0.169,0.0,0.151,0.032,0.0,0.0,0.0,0.0,0.0
174,Proper_Training,COMP-a35a20d65351aafe,1.21,0.179,1.09,0.0,1.57,0.178,0.0,0.158,0.028,0.0,0.0,0.0,0.0,0.0
175,Proper_Training,COMP-b72f6533b137a4f6,1.17,0.184,1.11,0.0,1.62,0.151,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0
176,Proper_Training,COMP-5479c448b954c055,0.0,0.0,4.17,0.0,0.41,0.0,0.0,0.0,0.0,0.12,1.1,0.0,0.0,0.0
177,Proper_Training,COMP-5479c448b954c055,0.0,0.0,4.17,0.0,0.41,0.0,0.0,0.0,0.0,0.12,1.1,0.0,0.0,0.0
178,Proper_Training,COMP-b9abc443805301b1,0.0,0.0,4.12,0.0,0.37,0.0,0.41,0.0,0.0,0.11,1.05,0.0,0.0,0.0
179,Calibration,COMP-b9abc443805301b1,0.0,0.0,4.12,0.0,0.37,0.0,0.41,0.0,0.0,0.11,1.05,0.0,0.0,0.0
180,Final_Test,COMP-69c6ecd7284d3b47,0.0,0.0,4.09,0.0,0.7,0.0,0.39,0.0,0.0,0.14,0.98,0.0,0.0,0.0
181,Proper_Training,COMP-69c6ecd7284d3b47,0.0,0.0,4.09,0.0,0.7,0.0,0.39,0.0,0.0,0.14,0.98,0.0,0.0,0.0
182,Proper_Training,COMP-630f3050f45faf36,0.0,0.0,4.25,0.0,1.18,0.0,0.43,0.0,0.0,0.11,1.18,0.0,0.0,0.0
183,Proper_Training,COMP-630f3050f45faf36,0.0,0.0,4.25,0.0,1.18,0.0,0.43,0.0,0.0,0.11,1.18,0.0,0.0,0.0
184,Proper_Training,COMP-0966c0019ec07f39,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Calibration,COMP-0966c0019ec07f39,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Proper_Training,COMP-0966c0019ec07f39,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Proper_Training,COMP-a7670bf71188b1d6,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.12
188,Proper_Training,COMP-a7670bf71188b1d6,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.12
189,Calibration,COMP-a7670bf71188b1d6,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.12
190,Calibration,COMP-98f4f40f49690531,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24
191,Calibration,COMP-98f4f40f49690531,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24
192,Final_Test,COMP-98f4f40f49690531,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24
193,Proper_Training,COMP-889d7d6c6dbf5b76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0
194,Proper_Training,COMP-445f55453794f59c,0.05,0.05,1.02,0.33,1.43,0.0,3.56,0.0,0.0,0.12,2.12,0.0,0.0,0.0
195,Calibration,COMP-2aa03f29266998cd,0.05,0.05,0.98,0.32,1.45,0.0,2.88,0.0,0.0,0.11,1.81,0.0,0.0,0.0
196,Final_Test,COMP-ecf6515f14a6b22f,0.05,0.05,1.02,0.31,1.62,0.0,3.94,0.0,0.0,0.12,0.0,0.0,0.0,0.0
197,Proper_Training,COMP-880bd22028629a8e,0.05,0.05,2.4,0.0,2.6,0.0,8.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0
198,Calibration,COMP-61eacf6ed2301b5b,0.05,0.05,2.4,0.0,2.6,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Proper_Training,COMP-6525c735bb50fb1c,0.0,0.0,4.25,0.39,0.37,0.0,0.61,0.0,0.0,0.12,1.01,0.0,0.0,0.28
200,Proper_Training,COMP-b878df279a448475,7.0,0.12,0.01,0.0,0.47,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
201,Proper_Training,COMP-05480af3b167ab05,7.0,0.13,1.04,0.0,0.45,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
202,Proper_Training,COMP-598bc18a3ba07a9e,7.0,0.13,2.99,0.0,0.45,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
203,Calibration,COMP-ea549c551a2ec0fe,0.0,0.0,1.2,0.0,1.5,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0
204,Final_Test,COMP-0b39eb01c3244861,0.0,0.0,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0
205,Proper_Training,COMP-d8a14990923ce9f7,0.0,0.0,1.2,0.0,2.5,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0
206,Calibration,COMP-5b7ad391f7bece77,0.14,0.0,3.6,0.52,2.3,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
207,Proper_Training,COMP-948abb1ebd270642,0.18,0.0,4.2,0.61,2.2,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
208,Calibration,COMP-13d94d763db48174,0.05,0.07,1.22,0.0,2.56,0.0,6.87,0.0,0.04,0.08,0.0,0.0,0.002,0.0
209,Final_Test,COMP-5c79458445b7792b,0.05,0.07,1.22,0.0,2.39,0.0,6.58,0.0,0.03,0.11,0.0,0.0,0.002,0.0
210,Proper_Training,COMP-d7494ade7e8dd694,0.03,0.06,1.18,0.0,2.46,0.0,6.72,0.0,0.05,0.18,0.0,0.0,0.002,0.0
211,Proper_Training,COMP-b775405901636085,0.04,0.07,1.2,0.0,2.42,0.04,6.66,0.0,0.03,0.0,0.0,0.0,0.004,0.0
212,Calibration,COMP-04efc8262905d7f8,0.05,0.06,1.39,0.0,2.6,0.11,6.97,0.0,0.03,0.0,0.0,0.0,0.002,0.0
213,Calibration,COMP-1fd6703042cef43b,0.04,0.07,1.23,0.1,2.41,0.0,6.54,0.0,0.02,0.0,0.0,0.0,0.001,0.0
214,Proper_Training,COMP-35e38ea13dc05b9e,0.04,0.08,1.21,0.26,2.6,0.0,6.87,0.0,0.03,0.0,0.0,0.0,0.001,0.0
215,Proper_Training,COMP-6b4f0394292930ba,0.04,0.08,1.22,0.39,2.61,0.0,6.76,0.0,0.02,0.0,0.0,0.0,0.001,0.0
216,Proper_Training,COMP-4a76c05754ee1efa,0.04,0.08,1.21,0.35,2.35,0.05,6.62,0.0,0.03,0.06,0.0,0.0,0.002,0.0
217,Calibration,COMP-46d2179ac0483904,0.04,0.08,1.15,0.31,2.41,0.05,6.85,0.0,0.03,0.13,0.0,0.0,0.001,0.0
218,Final_Test,COMP-10bc0cc0eed744ff,0.04,0.07,1.19,0.0,2.42,0.04,6.9,0.0,0.04,0.08,0.0,0.0,0.002,0.0
219,Proper_Training,COMP-eae7689b221fd7f8,0.03,0.08,1.17,0.0,2.38,0.05,6.51,0.0,0.06,0.13,0.0,0.0,0.002,0.0
220,Calibration,COMP-1dbd3647b4982092,0.05,0.08,1.23,0.3,2.63,0.0,6.78,0.0,0.04,0.11,0.0,0.0,0.002,0.0
221,Proper_Training,COMP-20d1e620c817cb5a,0.03,0.08,1.18,0.51,2.41,0.1,6.57,0.0,0.05,0.16,0.0,0.0,0.001,0.0
222,Calibration,COMP-71e5c04022dfc18d,0.05,0.06,1.2,0.0,2.38,0.0,6.64,0.0,0.03,0.0,0.0,0.0,0.0,0.0
223,Calibration,COMP-23c722316cb8c143,0.04,0.06,1.39,0.0,2.61,0.12,7.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0
224,Proper_Training,COMP-93900d7c81c38cdd,0.04,0.05,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.24,0.0,0.0,0.0
225,Proper_Training,COMP-289a02a6b94655b9,0.04,0.05,4.22,0.0,0.54,0.0,0.0,0.0,0.0,0.16,1.31,0.0,0.0,0.0
226,Proper_Training,COMP-93900d7c81c38cdd,0.04,0.05,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.24,0.0,0.0,0.0
227,Final_Test,COMP-289a02a6b94655b9,0.04,0.05,4.22,0.0,0.54,0.0,0.0,0.0,0.0,0.16,1.31,0.0,0.0,0.0
228,Proper_Training,COMP-46e30c1bd5e987da,0.01,0.01,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,0.0,0.0,0.0
229,Proper_Training,COMP-2753cd2e053c8c98,0.62,0.33,0.28,0.06,0.9,0.17,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
230,Proper_Training,COMP-0107563adaed8d01,0.0,0.0,1.6,0.0,2.5,0.25,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Proper_Training,COMP-0e256dc7494452a7,0.0,0.0,4.5,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Proper_Training,COMP-0e256dc7494452a7,0.0,0.0,4.5,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Proper_Training,COMP-e60cc4ecffe6b7df,0.15,0.2,1.6,0.1,2.5,0.23,5.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0
234,Final_Test,COMP-c5291f330c2c6e04,0.175,1.1,2.3,0.0,1.55,0.0,0.1,0.0,0.07,0.0,0.0,1.05,0.0,0.0
235,Proper_Training,COMP-091a20b5a1dfb76f,0.3,0.4,0.1,0.25,2.8,0.2,4.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
236,Proper_Training,COMP-44fea4804e888e0a,0.3,0.4,4.4,0.6,1.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Proper_Training,COMP-4ef2bcae5243588c,0.4,0.42,1.4,0.13,2.4,0.26,5.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0
238,Proper_Training,COMP-fc5c3e46d2655b62,0.5,0.35,4.0,0.7,0.6,0.1,0.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0
239,Proper_Training,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
240,Proper_Training,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
241,Proper_Training,COMP-631a18a4a6b20c0c,0.56,0.22,0.24,0.02,1.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Proper_Training,COMP-631a18a4a6b20c0c,0.56,0.22,0.24,0.02,1.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Proper_Training,COMP-b0cc51380afea02b,0.6,0.7,0.275,0.15,1.0,0.195,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
244,Final_Test,COMP-b0cc51380afea02b,0.6,0.7,0.275,0.15,1.0,0.195,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
245,Final_Test,COMP-1fc9679353325516,0.8,0.0,4.4,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Proper_Training,COMP-1fc9679353325516,0.8,0.0,4.4,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Proper_Training,COMP-e295ac85ac1ada41,0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Final_Test,COMP-e295ac85ac1ada41,0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Proper_Training,COMP-e295ac85ac1ada41,0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Calibration,COMP-8cbd3d61fbddfed7,0.84,0.37,0.32,0.18,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Proper_Training,COMP-dd1e9c4c0f247912,0.85,0.0,4.44,0.77,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
253,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
254,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
255,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
256,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
257,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
258,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
259,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
260,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
261,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
262,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
263,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
264,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
265,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
266,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
267,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
268,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
269,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
270,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
271,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
272,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
273,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
274,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
275,Final_Test,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
276,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
277,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
278,Final_Test,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
279,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
280,Final_Test,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
281,Calibration,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
282,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
283,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
284,Final_Test,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
285,Proper_Training,COMP-95a56990f4bea8a9,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0
286,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
287,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
288,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
289,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
290,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
291,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
292,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
293,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
294,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
295,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
296,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
297,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
298,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
299,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
300,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
301,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
302,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
303,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
304,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
305,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
306,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
307,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
308,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
309,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
310,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
311,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
312,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
313,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
314,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
315,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
316,Proper_Training,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
317,Final_Test,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
318,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
319,Calibration,COMP-478c9f483894c42c,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0
320,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
321,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
322,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
323,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
324,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
325,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
326,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
327,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
328,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
329,Calibration,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
330,Calibration,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
331,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
332,Final_Test,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
333,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
334,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
335,Calibration,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
336,Final_Test,COMP-06072d2dd3b021af,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0
337,Proper_Training,COMP-06072d2dd3b021af,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0
338,Final_Test,COMP-06072d2dd3b021af,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0
339,Proper_Training,COMP-06072d2dd3b021af,0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0
340,Final_Test,COMP-221944a235b3f36b,0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Proper_Training,COMP-221944a235b3f36b,0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,Proper_Training,COMP-221944a235b3f36b,0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Calibration,COMP-221944a235b3f36b,0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
