Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent,Selected_Chain_Order,Chain_Order_Status
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),UTS>YS>El,YS,0.8462306711570078,47.29153380913812,36.33614467592606,0.39352470245395255,0.30236216443363806,11.554868960543605,UTS>YS>El,Selected_by_inner_training_CV
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),UTS>YS>El,UTS,0.8567648501145103,39.39860583025881,28.30944450231471,0.379941265735089,0.2730027103701718,6.5979023745919765,UTS>YS>El,Selected_by_inner_training_CV
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),UTS>YS>El,El,0.7488105741983905,3.6141334807448073,2.48612847222223,0.49989692864149654,0.34387440145568415,23.255844932269966,UTS>YS>El,Selected_by_inner_training_CV
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),UTS>YS>El,Macro,0.8172686984899694,,,0.4244542989435127,0.306413092086498,,UTS>YS>El,Selected_by_inner_training_CV
,1,2,R01_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.8620727152294164,51.61358169513016,37.73887245370384,0.44772699020767215,0.32736948730535953,12.75687788001108,El>YS>UTS,Selected_by_inner_training_CV
,1,2,R01_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.8695533815895959,44.064221829868146,31.440992824074133,0.44618421905446387,0.3183642930010299,7.894038869846577,El>YS>UTS,Selected_by_inner_training_CV
,1,2,R01_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.7448496722702237,3.9399530267098974,2.6626612268518497,0.5578118338131111,0.3769750379520603,20.87739963691221,El>YS>UTS,Selected_by_inner_training_CV
,1,2,R01_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.8254919230297454,,,0.48390768102508236,0.3409029394194832,,El>YS>UTS,Selected_by_inner_training_CV
,1,3,R01_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.8428032025023946,45.4618687474776,29.79585439814832,0.3749287220567875,0.2457294853878546,10.988993100741224,El>UTS>YS,Selected_by_inner_training_CV
,1,3,R01_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.8750834995740534,35.59304969971158,25.15214212962983,0.3418010277585758,0.24153670738438895,6.553800667712671,El>UTS>YS,Selected_by_inner_training_CV
,1,3,R01_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.8013760040961055,3.3300351138039344,2.1964789351852096,0.46476601992643546,0.3065579604030537,16.352653145847302,El>UTS>YS,Selected_by_inner_training_CV
,1,3,R01_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.8397542353908513,,,0.39383192324726624,0.26460805105843244,,El>UTS>YS,Selected_by_inner_training_CV
,1,4,R01_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.8880356694649352,38.74812845285724,27.256720717592774,0.3202255144370437,0.2252572643418694,8.337159040934223,El>YS>UTS,Selected_by_inner_training_CV
,1,4,R01_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.8994190936716477,32.51195803561881,23.36229629629641,0.3127878477676435,0.22476168213008885,5.689908592539062,El>YS>UTS,Selected_by_inner_training_CV
,1,4,R01_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.7710459680294942,3.3978464948218994,1.9973721064814964,0.4686313468713189,0.27547777155032716,16.977460821168503,El>YS>UTS,Selected_by_inner_training_CV
,1,4,R01_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.852833577055359,,,0.3672149030253354,0.2418322393407618,,El>YS>UTS,Selected_by_inner_training_CV
,1,5,R01_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.8405370950582214,41.29231853409854,28.900313657407498,0.3323830759189252,0.23263346524217005,8.620571637051167,El>YS>UTS,Selected_by_inner_training_CV
,1,5,R01_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.8067751830540525,35.85431029017071,25.866497685184974,0.330499779350706,0.23843358604147563,5.524490541358974,El>YS>UTS,Selected_by_inner_training_CV
,1,5,R01_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.6671433295201974,3.625996369343641,2.1057962962962815,0.48757958452590666,0.283161696444332,15.80379333881085,El>YS>UTS,Selected_by_inner_training_CV
,1,5,R01_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.7714852025441571,,,0.38348747993184595,0.25140958257599255,,El>YS>UTS,Selected_by_inner_training_CV
,2,1,R02_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.8124717507188974,52.76221949308355,36.03984537037039,0.43961097553390854,0.30028137052567744,10.912834561501294,El>UTS>YS,Selected_by_inner_training_CV
