Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent
,1,1,R01_F01,Separately fitted target-wise ExtraTrees,Not applicable,YS,0.8649275250130208,44.323287932640625,34.19427037037054,0.3688251847755231,0.2845390916572454,10.827397494395923
,1,1,R01_F01,Separately fitted target-wise ExtraTrees,Not applicable,UTS,0.8578517451581487,39.24883918869947,28.292712152777654,0.3784969880465814,0.27284135161323453,6.595976126131833
,1,1,R01_F01,Separately fitted target-wise ExtraTrees,Not applicable,El,0.7760659954195925,3.4124283002434312,2.3835529513888947,0.4719976269801376,0.3296864396408873,23.17385960199877
,1,1,R01_F01,Separately fitted target-wise ExtraTrees,Not applicable,Macro,0.8329484218635873,,,0.406439933267414,0.2956889609704557,
,1,1,R01_F01,MultiOutputRegressor(ExtraTreesRegressor),Not applicable,YS,0.8649275250130208,44.323287932640625,34.19427037037054,0.3688251847755231,0.2845390916572454,10.827397494395923
,1,1,R01_F01,MultiOutputRegressor(ExtraTreesRegressor),Not applicable,UTS,0.8578517451581487,39.24883918869947,28.292712152777654,0.3784969880465814,0.27284135161323453,6.595976126131833
,1,1,R01_F01,MultiOutputRegressor(ExtraTreesRegressor),Not applicable,El,0.7760659954195925,3.4124283002434312,2.3835529513888947,0.4719976269801376,0.3296864396408873,23.17385960199877
,1,1,R01_F01,MultiOutputRegressor(ExtraTreesRegressor),Not applicable,Macro,0.8329484218635873,,,0.406439933267414,0.2956889609704557,
,1,1,R01_F01,Native multi-output ExtraTreesRegressor,Not applicable,YS,0.8587744939926631,45.321587123270646,35.1861230324076,0.3771322824801188,0.29279254618214123,11.34086206946675
,1,1,R01_F01,Native multi-output ExtraTreesRegressor,Not applicable,UTS,0.861173326594811,38.7875643560005,27.830984143518297,0.37404867470924025,0.26838866805841166,6.491496761693867
,1,1,R01_F01,Native multi-output ExtraTreesRegressor,Not applicable,El,0.7187662022450552,3.824170680797531,2.6944967592592666,0.5289486921599758,0.3726953255502304,24.927964767993377
,1,1,R01_F01,Native multi-output ExtraTreesRegressor,Not applicable,Macro,0.8129046742775099,,,0.4267098831164449,0.3112921799302611,
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>UTS>El,YS,0.8619537197557486,44.80855044400362,34.3217854745372,0.3728631757226318,0.2856001767899055,10.965797243951954
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>UTS>El,UTS,0.8517749994247802,40.07899113373919,27.395710879629476,0.38650257540441113,0.26419110138473134,6.369190459684583
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>UTS>El,El,0.7465366192575976,3.630455546549835,2.481029629629635,0.5021545515567787,0.3431691436766772,23.41407760422277
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>UTS>El,Macro,0.8200884461460421,,,0.42050676756127386,0.297653473950438,
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>El>UTS,YS,0.8619537197557486,44.80855044400362,34.3217854745372,0.3728631757226318,0.2856001767899055,10.965797243951954
,1,1,R01_F01,RegressorChain(ExtraTreesRegressor),YS>El>UTS,UTS,0.8520601730061783,40.04041811283428,27.19368680555544,0.3861305956838856,0.26224287807085717,6.3155886598949955
