Chain_Order,Target,N_Folds,R2_Mean,R2_SD,R2_SE,R2_CI95_Lower,R2_CI95_Upper,NRMSE_Mean,NRMSE_SD,NRMSE_SE,NRMSE_CI95_Lower,NRMSE_CI95_Upper,NMAE_Mean,NMAE_SD,NMAE_SE,NMAE_CI95_Lower,NMAE_CI95_Upper
El>UTS>YS,El,25,0.733523037579939,0.0856737596441244,0.01713475192882488,0.6999389237994422,0.7671071513604357,0.5100543444210323,0.13325539305680092,0.026651078611360186,0.4578182303427663,0.5622904584992983,0.3202040223440349,0.06386590238537299,0.012773180477074597,0.29516858860896866,0.3452394560791011
El>UTS>YS,Macro,25,0.8170208877789736,0.041915309823348824,0.008383061964669765,0.8005900863282209,0.8334516892297263,0.41382497571993876,0.06800686673753417,0.013601373347506834,0.38716628395882535,0.44048366748105217,0.2796053230972989,0.043507612584376396,0.008701522516875278,0.26255033896422336,0.29666030723037445
El>UTS>YS,UTS,25,0.8671456029645186,0.04027819671565816,0.008055639343131632,0.8513565498519806,0.8829346560770566,0.3548015325470367,0.05462300566270063,0.010924601132540127,0.33338931432725805,0.3762137507668154,0.2528371402133227,0.04102130328867315,0.00820426065773463,0.23675678932416283,0.2689174911024826
El>UTS>YS,YS,25,0.850394022792463,0.047422518368786686,0.009484503673757336,0.8318043955918987,0.8689836499930274,0.3766190501917472,0.05935253047398289,0.011870506094796578,0.35335285824594587,0.3998852421375485,0.26577480673453896,0.046310264779947784,0.009262052955989556,0.24762118294079943,0.2839284305282785
El>YS>UTS,El,25,0.733523037579939,0.0856737596441244,0.01713475192882488,0.6999389237994422,0.7671071513604357,0.5100543444210323,0.13325539305680092,0.026651078611360186,0.4578182303427663,0.5622904584992983,0.3202040223440349,0.06386590238537299,0.012773180477074597,0.29516858860896866,0.3452394560791011
El>YS>UTS,Macro,25,0.8161886579530382,0.041463188705700156,0.008292637741140032,0.7999350879804037,0.8324422279256727,0.4150065530650211,0.06620667021200694,0.013241334042401387,0.38905353834191436,0.44095956778812784,0.2798966957408207,0.04220110973636937,0.008440221947273873,0.2633538607241639,0.29643953075747753
El>YS>UTS,UTS,25,0.8618068566545516,0.04089939584001792,0.008179879168003584,0.8457742934852646,0.8778394198238386,0.36180522532896076,0.05364234534000335,0.01072846906800067,0.34077742595567945,0.38283302470224206,0.25729870357876483,0.04217050959111771,0.008434101918223542,0.2407678638190467,0.273829543338483
El>YS>UTS,YS,25,0.8532360796246239,0.045196949574364015,0.009039389914872803,0.8355188753914732,0.8709532838577746,0.3731600894450704,0.05474684696157884,0.010949369392315767,0.35169932543613147,0.3946208534540093,0.26218736129966236,0.04183676680579291,0.008367353361158581,0.24578734871179153,0.2785873738875332
UTS>El>YS,El,25,0.7265394588276455,0.08471067057702575,0.01694213411540515,0.6933328759614514,0.7597460416938395,0.5172038430308694,0.13348916956680482,0.026697833913360964,0.4648760885606819,0.5695315975010569,0.32091088747225305,0.06479159023755587,0.012958318047511175,0.29551258409913117,0.3463091908453749
UTS>El>YS,Macro,25,0.8124891790874151,0.04185178645443108,0.008370357290886216,0.7960832787972781,0.8288950793775521,0.41906477997020153,0.06836865994366924,0.013673731988733848,0.3922642652722832,0.44586529466811986,0.28207392579400975,0.04454308440207274,0.008908616880414548,0.26461303670839725,0.29953481487962225
UTS>El>YS,UTS,25,0.86244292163821,0.042228556804959454,0.00844571136099189,0.8458893273706659,0.8789965159057541,0.3609080207007734,0.05597617264908452,0.011195234529816904,0.33896536102233227,0.3828506803792145,0.25612641224977567,0.04363289245628557,0.008726578491257114,0.23902231840691174,0.2732305060926396
UTS>El>YS,YS,25,0.84848515679639,0.04671770497596301,0.009343540995192603,0.8301718164458125,0.8667984971469676,0.37908247617896174,0.0587552893358703,0.01175105786717406,0.35605040275930055,0.4021145495986229,0.2691844776600004,0.04616873377245873,0.009233746754491746,0.2510863340211966,0.2872826212988042
UTS>YS>El,El,25,0.722888499298825,0.08734257431026171,0.017468514862052344,0.6886502101692025,0.7571267884284476,0.5204277032114661,0.13594588016114026,0.027189176032228052,0.46713691818829917,0.5737184882346331,0.3230800341513683,0.06794650543501415,0.01358930108700283,0.2964450040208428,0.34971506428189386
UTS>YS>El,Macro,25,0.8112825897795622,0.042360824802715275,0.008472164960543056,0.7946771464568979,0.8278880331022266,0.42009305465448166,0.06893632624479157,0.013787265248958314,0.39307001476652337,0.44711609454243995,0.282914384379599,0.0452864091276151,0.00905728182552302,0.26516211200157386,0.3006666567576241
UTS>YS>El,UTS,25,0.86244292163821,0.042228556804959454,0.00844571136099189,0.8458893273706659,0.8789965159057541,0.3609080207007734,0.05597617264908452,0.011195234529816904,0.33896536102233227,0.3828506803792145,0.25612641224977567,0.04363289245628557,0.008726578491257114,0.23902231840691174,0.2732305060926396
UTS>YS>El,YS,25,0.8485163484016514,0.046228578395715016,0.009245715679143004,0.8303947456705311,0.8666379511327716,0.3789434400512054,0.057261231762217604,0.011452246352443522,0.3564970372004161,0.4013898429019947,0.2695367067376532,0.045374396611669934,0.009074879322333987,0.2517499432658786,0.2873234702094278
YS>El>UTS,El,25,0.7192549538181584,0.08378494226798569,0.01675698845359714,0.686411256449108,0.7520986511872088,0.5241342825323804,0.13274487781973274,0.026548975563946548,0.47209829042704515,0.5761702746377156,0.3260743496500274,0.06761090620235764,0.01352218124047153,0.2995708744187032,0.3525778248813516
YS>El>UTS,Macro,25,0.8106052261582497,0.042910772261146035,0.008582154452229207,0.7937842034318805,0.8274262488846189,0.42041391462930905,0.0673773411574641,0.01347546823149282,0.39400199689558313,0.44682583236303497,0.28276239297519257,0.044482820690494834,0.008896564138098967,0.26532512726451857,0.30019965868586657
YS>El>UTS,UTS,25,0.8594478633819013,0.04377901862586271,0.008755803725172543,0.8422864880805631,0.8766092386832395,0.36432174448851645,0.055174777337234936,0.011034955467446986,0.34269323177232036,0.38595025720471254,0.25983310037165863,0.04498811651637481,0.008997623303274962,0.2421977586972397,0.27746844204607757
YS>El>UTS,YS,25,0.8531128612746893,0.04653784205878231,0.009307568411756461,0.8348700271876467,0.871355695361732,0.3727857168670303,0.05523443763739299,0.011046887527478597,0.3511338173131723,0.39443761642088837,0.26237972890389183,0.04190077618649829,0.008380155237299658,0.2459546246387845,0.2788048331689992
YS>UTS>El,El,25,0.7144557858231404,0.08544638585583654,0.01708927717116731,0.6809608025676525,0.7479507690786283,0.5286692522391521,0.13475492621586313,0.026950985243172625,0.47584532116253375,0.5814931833157704,0.32766260396943536,0.06727473907351268,0.013454947814702536,0.3012909062526184,0.35403430168625233
YS>UTS>El,Macro,25,0.8087786178927441,0.04268635812280854,0.008537271624561709,0.7920455655086032,0.825511670276885,0.4222523295041899,0.06756511746081918,0.013513023492163836,0.3957668034595488,0.448737855548831,0.2835403165086318,0.0445391393290531,0.008907827865810621,0.266080973891643,0.30099965912562066
YS>UTS>El,UTS,25,0.8587672065804024,0.043779837285575315,0.008755967457115063,0.8416055103644569,0.8759289027963479,0.36530201940638757,0.0551622289259981,0.011032445785199619,0.3436784256673963,0.3869256131453788,0.2605786166525682,0.04493125639310259,0.008986251278620518,0.242965564146472,0.27819166915866445
