Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,YS,UTS,El,Original_Index,Data_Split
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,495.0,25.0,0.0,288.0,420.0,10.0,35,Proper_Training
0.1,0.2,4.2,0.91,1.4,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,25.0,300.0,259.0,510.0,16.1,36,Proper_Training
0.51,0.53,4.23,0.65,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,25.0,168.0,255.0,420.0,12.0,37,Proper_Training
0.1,0.2,4.2,0.91,1.4,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,25.0,300.0,237.0,462.0,19.3,38,Calibration
0.04,0.3,4.65,0.9,1.65,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,120.0,18.0,327.0,491.0,18.0,39,Final_Test
0.9,1.0,4.0,0.2,1.5,0.1,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,510.0,170.0,10.0,304.0,406.0,13.0,40,Proper_Training
0.9,1.0,4.0,0.2,1.5,0.1,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,510.0,240.0,6.0,255.0,331.0,11.0,41,Proper_Training
0.2,0.3,6.3,0.3,0.02,0.0,0.1,0.1,0.06,0.175,0.0,0.0,0.0,0.0,535.0,25.0,0.0,186.0,359.0,20.0,42,Final_Test
0.05,0.15,5.8,0.28,0.22,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0,530.0,165.0,15.0,445.0,485.0,9.0,43,Proper_Training
0.0,0.93,2.23,0.0,1.21,0.0,0.0,0.0,0.0,0.3,0.0,1.09,0.0,0.3,510.0,200.0,18.0,342.0,392.0,6.0,44,Proper_Training
12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,510.0,170.0,10.0,315.0,380.0,9.0,45,Proper_Training
12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,510.0,175.0,10.0,315.0,380.0,9.0,46,Final_Test
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,200.0,2.0,273.9,321.8,13.2,47,Proper_Training
0.6,0.0,0.2,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,180.0,7.5,280.0,310.0,13.0,48,Proper_Training
0.6,0.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,181.0,8.5,270.0,315.0,21.8,49,Proper_Training
0.55,0.47,0.28,0.0,0.98,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,180.0,6.0,248.0,345.0,11.8,50,Calibration
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,520.0,175.0,8.0,214.0,241.0,17.0,51,Proper_Training
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,545.0,160.0,18.0,352.0,379.0,10.0,52,Proper_Training
